Product_ID;Product_Name;Category;Price
1001;"Mixed Berries";Fruits;5000
1002;Television;Electronics;80000
1003;"Penne Pasta";"Food Stuff";7000
1004;Laptop;Gadget;70000
1005;"Cutlery set";"Kitchen Utensil";4000
1006;Blender;"Home Appliance";75000
1007;"Wrting Materials";Stationery;2000
1008;"Light Bulbs";"Light Fixtures";5000
1009;"Tea Set";"Kitchen Utensils";8000
1010;Oven;"Home Appliance";65000
1011;Pineapples;Fruits;8000
1012;"Basmati Rice";"Food Stuff";15000
1013;Phone;Gadget;80000
1014;Plates;"Kitchen Utensils";10000
1015;Crocs;"Foot Wear";20000
1016;Pillows;Beddings;5000
1017;Mattress;Beddings;35000
1018;Ottoman;Furniture;45000
1019;Blanket;Beddings;25000
1020;"Air Conditioner";Electronics;40000
